Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566079200.0 127.0 57 99 257 NA NA 208 506 676 NA NA 981 506 1777 NA NA 1443 984 2268 NA NA
1566079200.0 128.0 56 100 244 NA NA 207 558 729 NA NA 539 502 1700 NA NA 925 1269 2137 NA NA
1566079200.0 12834.0 NA 268 402 0 87 NA 802 832 0 246 NA 2434 2758 2107 782 NA 2682 3100 2166 1392
1566079200.0 129.0 59 99 243 NA NA 216 480 723 NA NA 557 494 1723 NA NA 1161 1094 2223 NA NA
1566079200.0 13.0 NA 107 273 0 NA NA 527 764 0 NA NA 534 2450 521 NA NA 1905 2625 591 NA
1566079200.0 130.0 56 100 258 NA NA 206 509 690 NA NA 592 497 1744 NA NA 1076 981 2295 NA NA
1566079200.0 1301.0 71 155 189 NA NA 232 592 677 NA NA 1147 1367 1251 NA NA 1353 846 1545 NA NA
1566079200.0 1301.17 62 210 199 NA NA 216 669 648 NA NA 1372 2674 1481 NA NA 1856 1007 1662 NA NA
1566079200.0 1302.0 84 162 199 NA NA 258 643 654 NA NA 3288 1436 1497 NA NA 1699 757 1799 NA NA
1566079200.0 1302.17 67 209 217 NA NA 221 689 633 NA NA 3404 2742 1687 NA NA 1847 1062 1783 NA NA
1566079200.0 1302.18 65 209 182 NA NA 220 662 671 NA NA 3291 2625 1259 NA NA 1885 1169 1370 NA NA
1566079200.0 1303.0 73 163 202 NA NA 229 552 700 NA NA 6236 1410 1868 NA NA 3188 1082 1635 NA NA
1566079200.0 1303.17 71 211 223 NA NA 227 642 748 NA NA 6678 2683 2023 NA NA 3204 1090 1863 NA NA
1566079200.0 1306.0 NA 155 285 0 NA NA 618 741 0 NA NA 1411 1768 504 NA NA 1282 2737 911 NA
1566079200.0 1309.0 NA 166 308 0 NA NA 644 771 0 NA NA 1571 1994 523 NA NA 1435 2049 665 NA
1566079200.0 131.0 57 98 257 NA NA 210 512 718 NA NA 1072 507 1742 NA NA 1082 701 2075 NA NA
1566079200.0 1310.0 NA 165 305 0 NA NA 583 774 0 NA NA 1461 1965 525 NA NA 1051 2373 608 NA
