Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1566162000.0 124.5 270 NA NA NA NA NA NA 988 NA NA NA NA NA NA 1380 NA NA NA NA NA NA 1554 NA NA NA NA NA NA
1566162000.0 124.6 231 NA NA NA NA NA NA 917 NA NA NA NA NA NA 1334 NA NA NA NA NA NA 1277 NA NA NA NA NA NA
1566162000.0 12434.0 NA 272 402 0 94 NA NA NA 756 794 0 234 NA NA NA 2595 2963 2300 908 NA NA NA 3275 3284 3538 1481 NA NA
1566162000.0 12634.0 NA 518 827 0 152 NA NA NA 1148 1435 0 360 NA NA NA 8162 7942 2249 873 NA NA NA 3675 4425 2365 968 NA NA
1566162000.0 127.0 68 105 268 NA NA NA NA 228 517 681 NA NA NA NA 820 585 1752 NA NA NA NA 1120 1264 2398 NA NA NA NA
1566162000.0 12834.0 NA 274 396 0 93 NA NA NA 794 786 0 241 NA NA NA 2937 3236 2129 652 NA NA NA 4082 3428 2346 800 NA NA
1566162000.0 129.0 68 110 261 NA NA NA NA 218 541 728 NA NA NA NA 560 525 1773 NA NA NA NA 1111 1919 2122 NA NA NA NA
1566162000.0 1301.0 87 167 195 NA NA NA NA 244 564 631 NA NA NA NA 1214 906 1286 NA NA NA NA 1184 622 1445 NA NA NA NA
1566162000.0 1301.17 69 220 245 NA NA NA NA 217 601 682 NA NA NA NA 1244 2681 1359 NA NA NA NA 1638 1351 1587 NA NA NA NA
1566162000.0 1302.0 94 167 218 NA NA NA NA 259 599 607 NA NA NA NA 3158 1361 1773 NA NA NA NA 2066 972 5697 NA NA NA NA
1566162000.0 1302.18 77 216 217 NA NA NA NA 227 635 589 NA NA NA NA 3009 2187 1377 NA NA NA NA 1437 938 3394 NA NA NA NA
1566162000.0 13034.0 NA 551 849 0 148 NA NA NA 1161 1307 0 365 NA NA NA 8540 8509 2277 833 NA NA NA 4251 4488 2398 940 NA NA
1566162000.0 1304.18 65 199 182 127 NA NA NA 221 616 615 325 NA NA NA 2385 2766 1272 645 NA NA NA 1123 1091 1370 714 NA NA NA
1566162000.0 1304.181 73 206 180 123 NA NA NA 220 601 705 324 NA NA NA 2499 2751 1290 650 NA NA NA 1109 1161 1329 706 NA NA NA
1566162000.0 131.0 67 109 273 NA NA NA NA 221 490 688 NA NA NA NA 1046 511 1866 NA NA NA NA 1725 755 4300 NA NA NA NA
1566162000.0 1313.0 NA 181 346 0 NA NA NA NA 627 777 0 NA NA NA NA 891 2319 544 NA NA NA NA 1097 2846 641 NA NA NA
1566162000.0 1314.0 NA 174 322 0 NA NA NA NA 599 780 0 NA NA NA NA 1186 2288 632 NA NA NA NA 1361 2864 1123 NA NA NA
1566162000.0 1318.0 NA 178 312 0 NA NA NA NA 614 694 0 NA NA NA NA 838 1889 528 NA NA NA NA 806 2553 1025 NA NA NA
1566162000.0 132.0 106 117 288 NA NA NA NA 287 546 756 NA NA NA NA 2528 581 1955 NA NA NA NA 2032 581 3007 NA NA NA NA
1566162000.0 1322.0 NA 168 317 0 NA NA NA NA 605 726 0 NA NA NA NA 1655 2243 574 NA NA NA NA 1363 2617 911 NA NA NA
1566162000.0 1324.0 NA 180 315 0 NA NA NA NA 575 730 0 NA NA NA NA 1010 2126 540 NA NA NA NA 1244 3214 699 NA NA NA
1566162000.0 1325.1 NA 177 169 0 NA NA NA NA 594 379 0 NA NA NA NA 1572 846 355 NA NA NA NA 1007 1339 556 NA NA NA
1566162000.0 1325.2 NA 177 320 0 NA NA NA NA 570 763 0 NA NA NA NA 1020 2042 533 NA NA NA NA 1324 2118 839 NA NA NA
1566162000.0 1325.3 NA 178 159 0 NA NA NA NA 617 363 0 NA NA NA NA 1089 809 333 NA NA NA NA 880 2469 487 NA NA NA
1566162000.0 1325.4 NA 181 326 0 NA NA NA NA 577 717 0 NA NA NA NA 901 2041 552 NA NA NA NA 681 3160 811 NA NA NA
1566162000.0 1325.5 NA 179 0 NA NA NA NA NA 392 0 NA NA NA NA NA 4514 171 NA NA NA NA NA 6642 454 NA NA NA NA
1566162000.0 1325.51 NA 170 0 NA NA NA NA NA 389 0 NA NA NA NA NA 1945 202 NA NA NA NA NA 2395 906 NA NA NA NA
1566162000.0 1325.6 NA 181 NA NA NA NA NA NA 454 NA NA NA NA NA NA 3564 NA NA NA NA NA NA 2401 NA NA NA NA NA
1566162000.0 1325.7 NA 192 0 NA NA NA NA NA 431 0 NA NA NA NA NA 3819 161 NA NA NA NA NA 2553 338 NA NA NA NA
1566162000.0 1325.8 NA 188 0 NA NA NA NA NA 438 0 NA NA NA NA NA 3711 180 NA NA NA NA NA 2610 842 NA NA NA NA
1566162000.0 1327.0 NA 176 313 0 NA NA NA NA 627 722 0 NA NA NA NA 1083 2162 621 NA NA NA NA 870 2915 1922 NA NA NA
1566162000.0 1329.1 NA 184 0 NA NA NA NA NA 403 0 NA NA NA NA NA 5220 151 NA NA NA NA NA 6126 296 NA NA NA NA
1566162000.0 1330.0 NA 177 361 0 NA NA NA NA 594 745 0 NA NA NA NA 980 2109 541 NA NA NA NA 1263 3517 700 NA NA NA
1566162000.0 1331.0 NA 179 320 0 NA NA NA NA 635 763 0 NA NA NA NA 948 1846 576 NA NA NA NA 925 2482 786 NA NA NA
1566162000.0 1334.0 NA 183 312 0 NA NA NA NA 635 710 0 NA NA NA NA 1035 2178 527 NA NA NA NA 1489 3459 643 NA NA NA
1566162000.0 134.0 NA 294 38 0 NA NA NA NA 795 162 0 NA NA NA NA 3792 147 78 NA NA NA NA 3756 224 127 NA NA NA
1566162000.0 134.806 NA 38 366 0 NA NA NA NA 175 820 0 NA NA NA NA 318 8128 723 NA NA NA NA 454 4183 907 NA NA NA
