Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1566079200.0 124.6 262 NA NA NA NA NA NA 501 NA NA NA NA NA NA 1082 NA NA NA NA NA NA 1527 NA NA NA NA NA NA
1566079200.0 127.0 61 79 428 NA NA NA NA 126 367 543 NA NA NA NA 995 454 1620 NA NA NA NA 1649 1011 2084 NA NA NA NA
1566079200.0 128.0 57 81 418 NA NA NA NA 115 367 529 NA NA NA NA 1002 549 1779 NA NA NA NA 1343 1853 2455 NA NA NA NA
1566079200.0 129.0 58 78 419 NA NA NA NA 131 360 533 NA NA NA NA 997 505 1756 NA NA NA NA 1220 1001 2404 NA NA NA NA
1566079200.0 13.0 NA 87 435 0 NA NA NA NA 367 558 0 NA NA NA NA 488 2127 504 NA NA NA NA 918 2270 604 NA NA NA
1566079200.0 130.0 61 82 428 NA NA NA NA 133 367 554 NA NA NA NA 1171 473 1632 NA NA NA NA 1641 664 1967 NA NA NA NA
1566079200.0 1301.0 84 95 210 NA NA NA NA 152 377 335 NA NA NA NA 1960 606 1317 NA NA NA NA 2488 1772 1984 NA NA NA NA
1566079200.0 1302.0 94 104 226 NA NA NA NA 167 369 351 NA NA NA NA 4506 636 1349 NA NA NA NA 2766 824 2071 NA NA NA NA
1566079200.0 1303.0 84 102 230 NA NA NA NA 157 369 353 NA NA NA NA 7430 597 1490 NA NA NA NA 4145 695 1555 NA NA NA NA
1566079200.0 1307.0 NA 92 180 47 0 NA NA NA 382 262 87 0 NA NA NA 518 662 160 249 NA NA NA 929 1323 964 553 NA NA
1566079200.0 1308.0 NA 92 178 41 0 NA NA NA 383 256 86 0 NA NA NA 484 589 152 240 NA NA NA 1301 1212 388 361 NA NA
