Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566162000.0 1.0 78 95 181 NA NA 200 371 527 NA NA 948 462 1212 NA NA 2559 884 1497 NA NA
1566162000.0 1001.2 NA 368 124 0 NA NA 717 207 0 NA NA 15122 1892 128 NA NA 7401 1391 314 NA
1566162000.0 1002.0 NA 292 84 NA NA NA 636 138 NA NA NA 2801 348 NA NA NA 2716 471 NA NA
1566162000.0 10024.1 NA 212 186 0 NA NA 547 331 0 NA NA 2873 972 372 NA NA 1979 1135 869 NA
1566162000.0 10024.2 NA 215 372 0 NA NA 601 669 0 NA NA 3019 2645 1105 NA NA 2056 4352 1453 NA
1566162000.0 10024.3 NA 215 174 0 NA NA 563 304 0 NA NA 2922 930 344 NA NA 1136 1080 886 NA
1566162000.0 10024.5 NA 215 87 0 NA NA 538 231 0 NA NA 2915 533 158 NA NA 1503 1255 307 NA
1566162000.0 1003.0 NA 270 0 NA NA NA 592 0 NA NA NA 3020 547 NA NA NA 2308 1342 NA NA
1566162000.0 101.0 85 NA NA NA NA 176 NA NA NA NA 773 NA NA NA NA 1230 NA NA NA NA
1566162000.0 1010.0 NA 28 45 0 NA NA 86 102 0 NA NA 108 178 147 NA NA 291 289 323 NA
1566162000.0 102.0 85 NA NA NA NA 176 NA NA NA NA 702 NA NA NA NA 1095 NA NA NA NA
1566162000.0 103.0 34 0 0 NA NA 96 0 0 NA NA 395 230 1558 NA NA 776 456 2304 NA NA
1566162000.0 1040.1 NA 67 32 0 NA NA 142 74 0 NA NA 342 137 108 NA NA 469 335 265 NA
1566162000.0 105.0 95 107 35 NA NA 201 405 76 NA NA 883 509 107 NA NA 2237 919 273 NA NA
1566162000.0 106.0 32 0 0 NA NA 96 0 0 NA NA 398 226 1537 NA NA 557 369 1831 NA NA
1566162000.0 108.0 76 109 267 NA NA 208 436 586 NA NA 2769 578 2140 NA NA 1794 766 3985 NA NA
1566162000.0 10824.1 NA 208 186 0 NA NA 513 337 0 NA NA 2806 970 366 NA NA 1203 1081 440 NA
1566162000.0 10824.5 NA 226 92 0 NA NA 573 229 0 NA NA 2123 493 163 NA NA 1145 1098 520 NA
1566162000.0 109.0 83 107 274 NA NA 210 477 642 NA NA 2701 606 2133 NA NA 2313 2089 3732 NA NA
1566162000.0 111.0 68 105 254 NA NA 195 450 575 NA NA 1182 485 1864 NA NA 1698 1322 3057 NA NA
1566162000.0 11224.6 NA 175 369 0 NA NA 498 721 0 NA NA 1229 2462 1066 NA NA 1458 3474 1513 NA
1566162000.0 113.0 72 106 263 NA NA 206 451 585 NA NA 1947 581 1958 NA NA 1068 1292 2327 NA NA
1566162000.0 114.0 80 104 259 NA NA 222 426 581 NA NA 1735 584 1951 NA NA 2206 1730 2675 NA NA
1566162000.0 115.0 69 104 260 NA NA 210 409 599 NA NA 2245 593 2016 NA NA 2888 1550 2719 NA NA
1566162000.0 116.0 81 107 263 NA NA 208 457 543 NA NA 2493 630 2077 NA NA 2844 1818 3658 NA NA
1566162000.0 11634.0 NA 263 405 0 99 NA 679 712 0 166 NA 2052 2480 1687 641 NA 2766 3143 1996 1045
1566162000.0 11640.0 NA 275 375 0 89 NA 673 696 0 147 NA 1851 2032 1650 788 NA 2946 2694 2035 1000
1566162000.0 11646.0 NA 282 394 0 86 NA 593 698 0 147 NA 2042 2306 1713 971 NA 2863 2983 2067 1249
1566162000.0 11650.0 NA 265 398 0 94 NA 680 699 0 167 NA 2067 2199 1689 720 NA 2654 2450 2114 1090
1566162000.0 119.0 80 103 259 NA NA 216 475 572 NA NA 1567 588 1993 NA NA 1998 1656 3916 NA NA
1566162000.0 120.0 57 99 252 NA NA 144 450 592 NA NA 613 512 1874 NA NA 2114 794 4022 NA NA
1566162000.0 12024.0 NA 304 410 0 NA NA 647 701 0 NA NA 1821 2528 1737 NA NA 2148 2881 2220 NA
1566162000.0 121.0 78 107 268 NA NA 213 406 539 NA NA 2771 599 2149 NA NA 1983 1558 3410 NA NA
1566162000.0 122.0 32 0 0 NA NA 96 0 0 NA NA 400 231 1550 NA NA 947 553 2433 NA NA
1566162000.0 123.3 250 NA NA NA NA 777 NA NA NA NA 1051 NA NA NA NA 1616 NA NA NA NA
1566162000.0 124.6 240 NA NA NA NA 780 NA NA NA NA 1158 NA NA NA NA 1470 NA NA NA NA
1566162000.0 12434.0 NA 278 416 0 89 NA 677 727 0 157 NA 2108 2467 1687 651 NA 2764 2938 2072 1103
1566162000.0 126.0 59 100 253 NA NA 159 411 539 NA NA 1198 546 1907 NA NA 1673 1899 3524 NA NA
1566162000.0 127.0 58 99 258 NA NA 144 443 525 NA NA 915 556 1893 NA NA 1554 1499 3384 NA NA
1566162000.0 12834.0 NA 280 414 0 97 NA 718 727 0 157 NA 2198 2537 1729 769 NA 2564 3010 2171 888
1566162000.0 129.0 57 98 244 NA NA 147 460 533 NA NA 577 535 1871 NA NA 1230 1423 3944 NA NA
1566162000.0 1301.0 74 152 184 NA NA 168 471 512 NA NA 1094 1369 1235 NA NA 1388 1045 1693 NA NA
1566162000.0 1301.17 63 202 198 NA NA 141 580 518 NA NA 1218 3059 1583 NA NA 2234 2361 2092 NA NA
1566162000.0 1302.0 85 161 199 NA NA 186 485 512 NA NA 2747 1448 1485 NA NA 1547 1054 1806 NA NA
1566162000.0 1302.18 66 202 185 NA NA 154 557 488 NA NA 2882 2764 1202 NA NA 1957 1089 2339 NA NA
1566162000.0 1303.0 74 161 203 NA NA 162 529 575 NA NA 5675 1544 2001 NA NA 4728 1438 2142 NA NA
1566162000.0 1303.17 70 210 224 NA NA 157 604 577 NA NA 5605 2972 2151 NA NA 3382 1554 2398 NA NA
