Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1560848400.0 1325.5 NA 160 0 NA NA 286 0 NA NA 4805 197 NA NA 6951 1114 NA
1560848400.0 1329.1 NA 167 0 NA NA 306 0 NA NA 5804 171 NA NA 8321 874 NA
1560848400.0 136.7611 NA 174 0 NA NA 308 0 NA NA 5500 203 NA NA 8906 1091 NA
1560848400.0 136.7721 NA 172 0 NA NA 305 0 NA NA 5161 189 NA NA 6963 1011 NA
1560848400.0 136.7722 NA 155 0 NA NA 280 0 NA NA 5440 168 NA NA 6876 568 NA
1560848400.0 1370.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1560848400.0 4.28 NA 68 308 0 NA 128 599 0 NA 336 3565 2686 NA 739 7747 3794
1560848400.0 513.0 14 33 0 NA 62 91 0 NA 806 253 186 NA 5543 1050 1143 NA
1560848400.0 523.0 15 43 0 NA 62 104 0 NA 1283 257 171 NA 5933 827 872 NA
1560848400.0 528.0 14 38 0 NA 62 96 0 NA 839 260 196 NA 5079 1452 1046 NA
1560848400.0 551.0 15 33 0 NA 61 90 0 NA 1239 230 167 NA 3958 792 641 NA
1560848400.0 555.0 14 33 0 NA 62 90 0 NA 1509 219 170 NA 7232 707 757 NA
