Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566162000.0 1003.0 NA 256 0 NA NA NA 393 0 NA NA NA 2768 604 NA NA NA 1569 694 NA NA
1566162000.0 101.0 97 NA NA NA NA 160 NA NA NA NA 844 NA NA NA NA 1003 NA NA NA NA
1566162000.0 102.0 97 NA NA NA NA 160 NA NA NA NA 756 NA NA NA NA 909 NA NA NA NA
1566162000.0 1040.0 NA 350 36 0 NA NA 612 75 0 NA NA 11868 136 142 NA NA 5050 362 246 NA
1566162000.0 1040.1 NA 78 28 0 NA NA 144 77 0 NA NA 479 124 138 NA NA 488 302 263 NA
1566162000.0 108.0 84 150 283 NA NA 209 584 420 NA NA 4250 550 2200 NA NA 2176 445 2602 NA NA
1566162000.0 10824.5 NA 267 169 0 NA NA 719 246 0 NA NA 2346 685 158 NA NA 3176 2846 265 NA
1566162000.0 111.0 76 132 273 NA NA 191 581 414 NA NA 2016 402 2026 NA NA 2026 1080 3640 NA NA
1566162000.0 11224.6 NA 268 393 0 NA NA 647 596 0 NA NA 1907 2521 2188 NA NA 2140 2464 2359 NA
1566162000.0 11624.0 71 168 369 0 72 134 604 570 0 133 3518 987 2565 1526 514 2555 1420 3785 2083 746
1566162000.0 11625.0 68 161 354 0 73 128 604 576 0 127 2263 931 2344 1455 317 3020 1602 3503 2070 890
1566162000.0 11626.0 75 170 371 0 73 138 596 577 0 136 5093 895 2601 1377 298 2406 743 2576 1479 517
1566162000.0 11642.0 64 158 351 0 69 125 603 565 0 129 1636 932 2308 1490 312 1708 3761 4176 1779 1020
1566162000.0 123.1 296 NA NA NA NA 640 NA NA NA NA 1046 NA NA NA NA 1034 NA NA NA NA
1566162000.0 123.2 314 NA NA NA NA 687 NA NA NA NA 1121 NA NA NA NA 1116 NA NA NA NA
1566162000.0 123.3 224 NA NA NA NA 685 NA NA NA NA 929 NA NA NA NA 1361 NA NA NA NA
1566162000.0 124.1 280 NA NA NA NA 642 NA NA NA NA 911 NA NA NA NA 1161 NA NA NA NA
1566162000.0 124.2 314 NA NA NA NA 599 NA NA NA NA 1008 NA NA NA NA 947 NA NA NA NA
1566162000.0 124.4 290 NA NA NA NA 687 NA NA NA NA 926 NA NA NA NA 1268 NA NA NA NA
1566162000.0 124.5 284 NA NA NA NA 685 NA NA NA NA 924 NA NA NA NA 983 NA NA NA NA
1566162000.0 124.6 223 NA NA NA NA 682 NA NA NA NA 905 NA NA NA NA 1248 NA NA NA NA
1566162000.0 125.0 92 143 276 NA NA 215 583 426 NA NA 2733 541 2134 NA NA 1992 1145 3676 NA NA
1566162000.0 127.0 63 155 272 NA NA 136 580 416 NA NA 2119 499 2063 NA NA 2413 475 5257 NA NA
1566162000.0 1301.17 67 154 203 NA NA 142 589 392 NA NA 1678 716 1499 NA NA 1927 518 2786 NA NA
1566162000.0 1302.17 75 160 210 NA NA 148 545 397 NA NA 3758 833 1684 NA NA 1969 1008 1887 NA NA
1566162000.0 132.0 86 121 278 NA NA 206 582 432 NA NA 3056 501 2098 NA NA 2157 472 2444 NA NA
1566162000.0 1325.5 NA 167 0 NA NA NA 282 0 NA NA NA 5059 221 NA NA NA 10634 2170 NA NA
1566162000.0 1325.51 NA 153 0 NA NA NA 238 0 NA NA NA 2029 177 NA NA NA 3168 490 NA NA
1566162000.0 1325.6 NA 192 NA NA NA NA 307 NA NA NA NA 5019 NA NA NA NA 7079 NA NA NA
1566162000.0 1325.7 NA 199 0 NA NA NA 318 0 NA NA NA 5416 153 NA NA NA 5276 292 NA NA
1566162000.0 1325.8 NA 191 0 NA NA NA 332 0 NA NA NA 5833 190 NA NA NA 12332 1097 NA NA
1566162000.0 1329.1 NA 179 0 NA NA NA 292 0 NA NA NA 6091 200 NA NA NA 9219 1967 NA NA
1566162000.0 135.1 329 0 127 NA NA 703 0 212 NA NA 1256 315 1038 NA NA 1721 714 1797 NA NA
1566162000.0 135.12 321 0 126 NA NA 640 0 216 NA NA 1165 336 1037 NA NA 2623 832 1717 NA NA
1566162000.0 135.13 329 0 NA NA NA 685 0 NA NA NA 1046 304 NA NA NA 926 562 NA NA NA
1566162000.0 135.4 321 0 124 NA NA 702 0 215 NA NA 1093 294 1020 NA NA 1561 573 1945 NA NA
1566162000.0 135.5 316 0 125 NA NA 702 0 216 NA NA 1118 325 1026 NA NA 1319 661 1927 NA NA
1566162000.0 135.7 314 0 122 NA NA 688 0 203 NA NA 1155 296 1085 NA NA 1528 613 2656 NA NA
1566162000.0 135.8 160 NA NA NA NA 274 NA NA NA NA 449 NA NA NA NA 636 NA NA NA NA
1566162000.0 135.9 314 0 123 NA NA 700 0 203 NA NA 1089 309 1006 NA NA 1630 834 1830 NA NA
1566162000.0 136.737 NA 79 366 0 NA NA 151 624 0 NA NA 648 12713 896 NA NA 1877 5790 1069 NA
1566162000.0 136.742 NA 80 350 0 NA NA 152 566 0 NA NA 667 12402 1060 NA NA 1833 11082 2364 NA
1566162000.0 136.743 NA 78 351 0 NA NA 154 539 0 NA NA 768 12268 1043 NA NA 1929 10789 1807 NA
1566162000.0 136.746 NA 81 359 0 NA NA 161 534 0 NA NA 881 12767 952 NA NA 1996 9769 2892 NA
1566162000.0 136.753 NA 79 350 0 NA NA 150 532 0 NA NA 691 12878 1038 NA NA 1884 11501 2636 NA
