Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1566079200.0 1000.0 NA 313 183 0 54 NA NA NA NA NA 434 293 0 101 NA NA NA NA NA 2854 1306 682 277 NA NA NA NA NA 3502 1695 897 495 NA NA NA NA
1566079200.0 1001.0 NA 263 118 0 0 0 0 0 0 NA 396 180 0 0 0 0 0 0 NA 2323 914 92 74 122 311 115 531 NA 1816 881 172 132 220 487 180 814
1566079200.0 1002.0 NA 309 81 NA NA NA NA NA NA NA 447 137 NA NA NA NA NA NA NA 4038 384 NA NA NA NA NA NA NA 4061 251 NA NA NA NA NA NA
1566079200.0 10024.5 NA 169 156 0 NA NA NA NA NA NA 564 226 0 NA NA NA NA NA NA 772 510 166 NA NA NA NA NA NA 553 757 735 NA NA NA NA NA
1566079200.0 1004.0 NA 218 109 0 0 0 0 NA NA NA 361 164 0 0 0 0 NA NA NA 915 315 76 127 268 270 NA NA NA 2349 444 133 186 368 403 NA NA
1566079200.0 101.0 87 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 881 NA NA NA NA NA NA NA NA 1178 NA NA NA NA NA NA NA NA
1566079200.0 1010.0 NA 26 38 0 NA NA NA NA NA NA 89 99 0 NA NA NA NA NA NA 137 194 155 NA NA NA NA NA NA 565 346 242 NA NA NA NA NA
1566079200.0 102.0 87 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 772 NA NA NA NA NA NA NA NA 1645 NA NA NA NA NA NA NA NA
1566079200.0 1020.0 NA 70 23 0 70 NA NA NA NA NA 140 71 0 146 NA NA NA NA NA 264 121 82 271 NA NA NA NA NA 904 532 363 504 NA NA NA NA
1566079200.0 1030.0 NA 202 50 0 0 NA NA NA NA NA 436 105 0 0 NA NA NA NA NA 7340 282 69 66 NA NA NA NA NA 2784 415 195 101 NA NA NA NA
1566079200.0 1040.1 NA 79 27 0 NA NA NA NA NA NA 153 76 0 NA NA NA NA NA NA 438 146 134 NA NA NA NA NA NA 913 304 243 NA NA NA NA NA
1566079200.0 106.0 48 0 0 NA NA NA NA NA NA 108 0 0 NA NA NA NA NA NA 867 214 1647 NA NA NA NA NA NA 1022 614 2192 NA NA NA NA NA NA
1566079200.0 108.0 106 116 301 NA NA NA NA NA NA 218 586 442 NA NA NA NA NA NA 3850 600 2055 NA NA NA NA NA NA 3380 929 2482 NA NA NA NA NA NA
1566079200.0 10824.5 NA 276 157 0 NA NA NA NA NA NA 711 243 0 NA NA NA NA NA NA 2132 575 152 NA NA NA NA NA NA 1900 800 422 NA NA NA NA NA
1566079200.0 12.0 NA 131 315 0 NA NA NA NA NA NA 592 433 0 NA NA NA NA NA NA 2258 3533 637 NA NA NA NA NA NA 1611 2939 837 NA NA NA NA NA
1566079200.0 121.0 97 115 294 NA NA NA NA NA NA 216 542 432 NA NA NA NA NA NA 3018 863 1950 NA NA NA NA NA NA 2036 779 1891 NA NA NA NA NA NA
