Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1566162000.0 12.0 NA 135 296 0 NA NA NA 450 681 0 NA NA NA 2791 5601 794 NA NA NA 1041 4012 862 NA NA
1566162000.0 121.0 83 113 277 NA NA NA 190 402 589 NA NA NA 5261 902 3742 NA NA NA 3339 942 5209 NA NA NA
1566162000.0 122.0 31 0 0 NA NA NA 95 0 0 NA NA NA 446 269 1700 NA NA NA 1058 768 2761 NA NA NA
1566162000.0 123.1 273 NA NA NA NA NA 833 NA NA NA NA NA 1363 NA NA NA NA NA 1335 NA NA NA NA NA
1566162000.0 123.2 287 NA NA NA NA NA 856 NA NA NA NA NA 1539 NA NA NA NA NA 1858 NA NA NA NA NA
1566162000.0 123.3 237 NA NA NA NA NA 784 NA NA NA NA NA 1217 NA NA NA NA NA 1631 NA NA NA NA NA
1566162000.0 124.1 274 NA NA NA NA NA 821 NA NA NA NA NA 1201 NA NA NA NA NA 1372 NA NA NA NA NA
1566162000.0 124.2 269 NA NA NA NA NA 834 NA NA NA NA NA 1362 NA NA NA NA NA 3570 NA NA NA NA NA
1566162000.0 124.4 264 NA NA NA NA NA 822 NA NA NA NA NA 1257 NA NA NA NA NA 2458 NA NA NA NA NA
1566162000.0 124.5 266 NA NA NA NA NA 828 NA NA NA NA NA 1254 NA NA NA NA NA 2146 NA NA NA NA NA
1566162000.0 124.6 233 NA NA NA NA NA 770 NA NA NA NA NA 1236 NA NA NA NA NA 2353 NA NA NA NA NA
1566162000.0 12434.0 NA 270 401 0 85 NA NA 677 718 0 160 NA NA 2755 3081 2245 889 NA NA 3261 4569 3815 1024 NA
1566162000.0 126.0 59 99 270 NA NA NA 142 408 583 NA NA NA 1641 946 1885 NA NA NA 2110 2569 2587 NA NA NA
1566162000.0 127.0 55 97 261 NA NA NA 135 395 550 NA NA NA 991 524 1972 NA NA NA 2598 1266 4302 NA NA NA
1566162000.0 128.0 60 97 250 NA NA NA 129 470 529 NA NA NA 770 1195 3307 NA NA NA 986 1750 4207 NA NA NA
1566162000.0 12834.0 NA 268 401 0 85 NA NA 652 681 0 159 NA NA 2543 2874 2036 843 NA NA 3848 4707 2429 1451 NA
1566162000.0 129.0 54 97 246 NA NA NA 132 461 562 NA NA NA 597 534 1908 NA NA NA 2222 1549 2851 NA NA NA
1566162000.0 130.0 57 98 264 NA NA NA 129 411 574 NA NA NA 637 527 1964 NA NA NA 1923 766 4044 NA NA NA
1566162000.0 1301.0 68 161 211 NA NA NA 156 497 498 NA NA NA 2064 1225 2603 NA NA NA 2427 585 4081 NA NA NA
1566162000.0 1301.17 59 202 205 NA NA NA 134 527 496 NA NA NA 1197 2864 1682 NA NA NA 2314 1619 3487 NA NA NA
1566162000.0 1302.0 84 166 226 NA NA NA 178 525 519 NA NA NA 6032 2238 2811 NA NA NA 3754 946 2834 NA NA NA
1566162000.0 1302.17 66 216 255 NA NA NA 140 559 540 NA NA NA 6185 3126 2589 NA NA NA 3628 1281 2569 NA NA NA
1566162000.0 1302.18 63 207 182 NA NA NA 143 565 518 NA NA NA 3199 2844 1487 NA NA NA 2007 1623 2373 NA NA NA
1566162000.0 13034.0 NA 555 837 0 149 NA NA 1008 1167 0 281 NA NA 7823 8517 2158 960 NA NA 4749 4167 2250 1269 NA
1566162000.0 131.0 62 102 257 NA NA NA 136 403 594 NA NA NA 1192 1405 2617 NA NA NA 1158 2563 3620 NA NA NA
1566162000.0 1310.0 NA 170 307 0 NA NA NA 475 570 0 NA NA NA 2267 3220 782 NA NA NA 1204 3132 1008 NA NA
1566162000.0 1314.0 NA 174 309 0 NA NA NA 479 583 0 NA NA NA 1501 3541 821 NA NA NA 683 5030 1037 NA NA
1566162000.0 1318.0 NA 156 308 0 NA NA NA 453 575 0 NA NA NA 2486 3310 746 NA NA NA 1912 4761 958 NA NA
1566162000.0 1319.0 NA 157 295 0 NA NA NA 530 566 0 NA NA NA 2537 3364 799 NA NA NA 1312 5211 1125 NA NA
1566162000.0 1320.0 NA 167 309 0 NA NA NA 499 611 0 NA NA NA 1255 2562 826 NA NA NA 715 2533 1084 NA NA
1566162000.0 1322.0 NA 160 302 0 NA NA NA 478 564 0 NA NA NA 2668 3801 761 NA NA NA 1430 5600 997 NA NA
1566162000.0 1323.0 NA 164 299 0 NA NA NA 516 588 0 NA NA NA 1233 2570 771 NA NA NA 656 3006 996 NA NA
1566162000.0 1324.0 NA 171 313 0 NA NA NA 463 631 0 NA NA NA 1334 3905 911 NA NA NA 631 5624 1563 NA NA
1566162000.0 1325.1 NA 163 152 0 NA NA NA 512 251 0 NA NA NA 1682 827 360 NA NA NA 2727 2636 938 NA NA
1566162000.0 1325.2 NA 165 313 0 NA NA NA 463 578 0 NA NA NA 2292 3178 783 NA NA NA 1784 2932 928 NA NA
1566162000.0 1325.3 NA 162 147 0 NA NA NA 528 254 0 NA NA NA 1672 826 336 NA NA NA 1142 2559 671 NA NA
1566162000.0 1325.5 NA 173 0 NA NA NA NA 292 0 NA NA NA NA 5846 267 NA NA NA NA 9021 953 NA NA NA
1566162000.0 1325.51 NA 157 0 NA NA NA NA 279 0 NA NA NA NA 2046 221 NA NA NA NA 2036 1432 NA NA NA
1566162000.0 1325.6 NA 179 NA NA NA NA NA 358 NA NA NA NA NA 3618 NA NA NA NA NA 3307 NA NA NA NA
1566162000.0 1325.7 NA 183 0 NA NA NA NA 332 0 NA NA NA NA 4313 189 NA NA NA NA 2356 1982 NA NA NA
1566162000.0 1325.8 NA 183 0 NA NA NA NA 334 0 NA NA NA NA 4255 182 NA NA NA NA 3520 1402 NA NA NA
1566162000.0 1326.0 NA 157 301 0 NA NA NA 478 565 0 NA NA NA 2007 3328 780 NA NA NA 1842 3422 1044 NA NA
1566162000.0 1327.0 NA 159 303 0 NA NA NA 541 582 0 NA NA NA 2269 3374 762 NA NA NA 1856 3365 918 NA NA
1566162000.0 1328.0 NA 182 310 0 NA NA NA 519 578 0 NA NA NA 1287 3577 844 NA NA NA 641 4774 1063 NA NA
1566162000.0 1329.1 NA 183 0 NA NA NA NA 309 0 NA NA NA NA 6575 269 NA NA NA NA 8445 1010 NA NA NA
1566162000.0 1331.0 NA 171 309 0 NA NA NA 511 559 0 NA NA NA 1356 3370 797 NA NA NA 640 3970 1047 NA NA
1566162000.0 1332.0 NA 166 316 0 NA NA NA 467 579 0 NA NA NA 2420 3034 795 NA NA NA 1762 3405 1016 NA NA
1566162000.0 1335.0 NA 158 300 0 NA NA NA 511 602 0 NA NA NA 1671 2025 575 NA NA NA 3525 2475 1823 NA NA
1566162000.0 134.0 NA 293 33 0 NA NA NA 584 85 0 NA NA NA 3817 173 101 NA NA NA 3295 936 400 NA NA
1566162000.0 134.701 NA 35 328 0 NA NA NA 96 588 0 NA NA NA 295 5557 814 NA NA NA 652 3717 1021 NA NA
1566162000.0 134.702 NA 36 328 0 NA NA NA 96 613 0 NA NA NA 427 11090 1294 NA NA NA 389 6637 1642 NA NA
1566162000.0 134.704 NA 35 336 0 NA NA NA 94 636 0 NA NA NA 271 6771 766 NA NA NA 443 3716 882 NA NA
1566162000.0 134.706 NA 36 357 0 NA NA NA 102 643 0 NA NA NA 320 9062 838 NA NA NA 478 5673 1198 NA NA
1566162000.0 134.707 NA 39 331 0 NA NA NA 98 616 0 NA NA NA 369 10132 1217 NA NA NA 378 7389 1880 NA NA
1566162000.0 134.708 NA 31 335 0 NA NA NA 100 602 0 NA NA NA 459 9583 1214 NA NA NA 610 5761 1671 NA NA
1566162000.0 134.709 NA 37 505 0 NA NA NA 101 808 0 NA NA NA 337 6856 818 NA NA NA 463 3833 972 NA NA
1566162000.0 134.71 NA 33 300 0 NA NA NA 91 587 0 NA NA NA 281 4804 460 NA NA NA 744 3611 678 NA NA
1566162000.0 134.803 NA 32 334 0 NA NA NA 106 611 0 NA NA NA 473 11638 1252 NA NA NA 597 6973 1993 NA NA
1566162000.0 134.804 NA 35 351 0 NA NA NA 103 680 0 NA NA NA 432 12917 1207 NA NA NA 353 7353 1532 NA NA
1566162000.0 134.811 NA 35 350 0 NA NA NA 100 622 0 NA NA NA 306 12328 1111 NA NA NA 251 6481 1220 NA NA
1566162000.0 134.812 NA 33 298 0 NA NA NA 101 636 0 NA NA NA 292 4968 470 NA NA NA 847 3268 693 NA NA
1566162000.0 134.813 NA 141 57 0 NA NA NA 270 124 0 NA NA NA 1033 268 285 NA NA NA 1345 943 636 NA NA
1566162000.0 134.901 NA 36 337 0 NA NA NA 102 646 0 NA NA NA 363 7588 995 NA NA NA 521 4825 1082 NA NA
1566162000.0 134.902 NA 32 333 0 NA NA NA 97 643 0 NA NA NA 294 6495 780 NA NA NA 809 3675 1018 NA NA
1566162000.0 134.903 NA 37 330 0 NA NA NA 100 678 0 NA NA NA 312 6066 782 NA NA NA 647 4214 1044 NA NA
1566162000.0 134.905 NA 32 337 0 NA NA NA 103 612 0 NA NA NA 499 9393 1091 NA NA NA 614 6733 1412 NA NA
1566162000.0 134.906 NA 34 334 0 NA NA NA 97 621 0 NA NA NA 330 10819 1116 NA NA NA 310 6802 1236 NA NA
1566162000.0 134.908 NA 90 361 0 NA NA NA 228 664 0 NA NA NA 1627 10611 1271 NA NA NA 1555 6636 1642 NA NA
1566162000.0 134.91 NA 30 331 0 NA NA NA 105 611 0 NA NA NA 436 8858 1110 NA NA NA 423 6210 1340 NA NA
