Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1566162000.0 128.0 58 92 255 NA NA NA NA 928 952 1145 NA NA NA NA 1493 1292 5729 NA NA NA NA 2048 1706 6147 NA NA NA NA
1566162000.0 129.0 58 92 251 NA NA NA NA 929 949 1145 NA NA NA NA 1448 1176 5672 NA NA NA NA 1838 1509 6366 NA NA NA NA
1566162000.0 13.0 NA 91 255 0 NA NA NA NA 997 1256 0 NA NA NA NA 1313 9002 1481 NA NA NA NA 1985 7129 1594 NA NA NA
1566162000.0 130.0 57 91 258 NA NA NA NA 929 949 1146 NA NA NA NA 1596 1281 5919 NA NA NA NA 1999 1677 6499 NA NA NA NA
1566162000.0 1301.0 63 110 205 NA NA NA NA 936 972 1080 NA NA NA NA 2871 1044 4167 NA NA NA NA 3700 1115 4591 NA NA NA NA
1566162000.0 1301.17 60 163 221 NA NA NA NA 933 1025 1098 NA NA NA NA 3046 2083 4355 NA NA NA NA 3704 2171 4913 NA NA NA NA
1566162000.0 1302.0 67 113 210 NA NA NA NA 942 973 1085 NA NA NA NA 10483 1423 4097 NA NA NA NA 11262 1634 4381 NA NA NA NA
1566162000.0 1302.17 63 166 233 NA NA NA NA 939 1026 1208 NA NA NA NA 12300 2581 4728 NA NA NA NA 12862 2747 4885 NA NA NA NA
1566162000.0 1303.0 68 119 205 NA NA NA NA 946 974 1193 NA NA NA NA 19444 1277 6130 NA NA NA NA 20248 1426 4703 NA NA NA NA
1566162000.0 1306.0 NA 115 277 0 NA NA NA NA 1015 1163 0 NA NA NA NA 1294 4116 1687 NA NA NA NA 1448 4310 1746 NA NA NA
1566162000.0 1307.0 NA 109 156 54 0 NA NA NA 1010 1018 909 0 NA NA NA 1369 2098 443 935 NA NA NA 2115 2528 535 1108 NA NA
1566162000.0 1308.0 NA 109 154 55 0 NA NA NA 1009 1015 908 0 NA NA NA 1325 1146 333 686 NA NA NA 2066 1288 365 724 NA NA
1566162000.0 1309.0 NA 112 283 0 NA NA NA NA 1018 1171 0 NA NA NA NA 1878 5812 1798 NA NA NA NA 2342 6133 1881 NA NA NA
1566162000.0 131.0 57 91 260 NA NA NA NA 937 952 1146 NA NA NA NA 2676 1074 4298 NA NA NA NA 3431 1276 4652 NA NA NA NA
1566162000.0 1310.0 NA 117 281 0 NA NA NA NA 1018 1274 0 NA NA NA NA 1504 4707 1764 NA NA NA NA 1656 4683 1857 NA NA NA
1566162000.0 1311.0 NA 114 298 0 70 NA NA NA 1016 1173 0 931 NA NA NA 1167 3557 2202 620 NA NA NA 1463 3805 2282 827 NA NA
