Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1566079200.0 11650.0 NA 251 389 0 87 NA NA NA 673 665 0 163 NA NA NA 2454 2977 2465 941 NA NA NA 2491 3977 3129 2058 NA NA
1566079200.0 117.0 81 104 264 NA NA NA NA 199 428 597 NA NA NA NA 2978 653 2494 NA NA NA NA 1520 1212 2943 NA NA NA NA
1566079200.0 118.0 77 104 270 NA NA NA NA 193 421 603 NA NA NA NA 3052 682 2568 NA NA NA NA 1563 853 3136 NA NA NA NA
1566079200.0 11834.0 NA 533 825 0 149 NA NA NA 960 1269 0 287 NA NA NA 9897 10529 2577 1191 NA NA NA 5068 4794 2638 1285 NA NA
1566079200.0 11846.0 NA 534 797 0 141 NA NA NA 1013 1151 0 282 NA NA NA 10230 10644 2608 1174 NA NA NA 4416 4814 2702 1286 NA NA
1566079200.0 119.0 75 101 262 NA NA NA NA 193 387 591 NA NA NA NA 1641 619 2323 NA NA NA NA 2090 1656 2848 NA NA NA NA
1566079200.0 12.0 NA 138 305 0 NA NA NA NA 502 633 0 NA NA NA NA 2215 3953 1122 NA NA NA NA 1178 2747 1400 NA NA NA
1566079200.0 120.0 55 98 252 NA NA NA NA 138 480 542 NA NA NA NA 606 603 2254 NA NA NA NA 1139 852 3032 NA NA NA NA
1566079200.0 121.0 72 107 266 NA NA NA NA 186 456 605 NA NA NA NA 3045 701 2682 NA NA NA NA 3666 1834 4635 NA NA NA NA
1566079200.0 123.1 271 NA NA NA NA NA NA 853 NA NA NA NA NA NA 1563 NA NA NA NA NA NA 1526 NA NA NA NA NA NA
1566079200.0 123.2 280 NA NA NA NA NA NA 912 NA NA NA NA NA NA 1744 NA NA NA NA NA NA 1845 NA NA NA NA NA NA
1566079200.0 123.3 230 NA NA NA NA NA NA 721 NA NA NA NA NA NA 1412 NA NA NA NA NA NA 2369 NA NA NA NA NA NA
1566079200.0 124.1 268 NA NA NA NA NA NA 888 NA NA NA NA NA NA 1415 NA NA NA NA NA NA 1478 NA NA NA NA NA NA
1566079200.0 124.2 270 NA NA NA NA NA NA 797 NA NA NA NA NA NA 1502 NA NA NA NA NA NA 1810 NA NA NA NA NA NA
1566079200.0 124.4 273 NA NA NA NA NA NA 770 NA NA NA NA NA NA 1449 NA NA NA NA NA NA 2150 NA NA NA NA NA NA
1566079200.0 124.5 269 NA NA NA NA NA NA 834 NA NA NA NA NA NA 1441 NA NA NA NA NA NA 1559 NA NA NA NA NA NA
1566079200.0 124.6 231 NA NA NA NA NA NA 770 NA NA NA NA NA NA 1447 NA NA NA NA NA NA 1999 NA NA NA NA NA NA
1566079200.0 12434.0 NA 266 403 0 87 NA NA NA 703 663 0 167 NA NA NA 2661 3185 2473 930 NA NA NA 2516 3768 2720 1180 NA NA
1566079200.0 125.0 73 103 261 NA NA NA NA 185 386 585 NA NA NA NA 1811 640 2278 NA NA NA NA 2847 1621 3007 NA NA NA NA
1566079200.0 126.0 56 97 249 NA NA NA NA 151 412 599 NA NA NA NA 1371 649 2391 NA NA NA NA 4542 3190 4678 NA NA NA NA
1566079200.0 12634.0 NA 531 750 0 145 NA NA NA 977 1164 0 288 NA NA NA 9603 10489 2611 1207 NA NA NA 5237 4896 2697 1479 NA NA
1566079200.0 127.0 55 98 250 NA NA NA NA 132 426 585 NA NA NA NA 991 650 2478 NA NA NA NA 2358 2523 4656 NA NA NA NA
1566079200.0 128.0 55 99 242 NA NA NA NA 132 409 585 NA NA NA NA 572 597 2225 NA NA NA NA 1136 745 3939 NA NA NA NA
1566079200.0 12834.0 NA 272 401 0 93 NA NA NA 699 675 0 161 NA NA NA 2684 3241 2509 941 NA NA NA 3006 3853 3067 2081 NA NA
1566079200.0 129.0 56 98 248 NA NA NA NA 136 462 544 NA NA NA NA 660 674 2275 NA NA NA NA 2343 3065 5606 NA NA NA NA
1566079200.0 13.0 NA 107 274 0 NA NA NA NA 424 649 0 NA NA NA NA 563 2835 875 NA NA NA NA 915 2480 1419 NA NA NA
1566079200.0 130.0 56 98 262 NA NA NA NA 134 478 539 NA NA NA NA 621 596 2190 NA NA NA NA 1293 1832 2277 NA NA NA NA
1566079200.0 1301.0 73 154 179 NA NA NA NA 155 517 482 NA NA NA NA 1330 1656 1727 NA NA NA NA 3980 2154 3525 NA NA NA NA
