Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566162000.0 1303.0 71 165 206 NA NA 162 520 576 NA NA 6186 1742 2461 NA NA 5243 1454 2909 NA NA
1566162000.0 1303.17 69 210 222 NA NA 148 554 481 NA NA 6260 2849 2550 NA NA 3341 1297 2596 NA NA
1566162000.0 131.0 63 105 267 NA NA 139 367 548 NA NA 991 590 2137 NA NA 915 968 2346 NA NA
1566162000.0 1310.0 NA 163 306 0 NA NA 506 634 0 NA NA 1823 2605 885 NA NA 2412 4920 1282 NA
1566162000.0 1312.0 NA 165 329 0 NA NA 546 626 0 NA NA 1567 2410 881 NA NA 1319 3017 1697 NA
1566162000.0 1313.0 NA 177 343 0 NA NA 514 606 0 NA NA 964 2630 811 NA NA 1512 3874 1131 NA
1566162000.0 1314.0 NA 163 312 0 NA NA 530 592 0 NA NA 1745 2631 905 NA NA 1923 4589 1496 NA
1566162000.0 1315.0 NA 152 292 0 NA NA 495 613 0 NA NA 1817 2466 901 NA NA 1379 4414 2729 NA
1566162000.0 1316.0 NA 155 291 0 NA NA 476 561 0 NA NA 1782 2467 848 NA NA 2906 4107 1883 NA
1566162000.0 1317.0 NA 154 294 0 NA NA 515 602 0 NA NA 1673 2413 805 NA NA 1413 3271 1248 NA
1566162000.0 1319.0 NA 154 296 0 NA NA 484 662 0 NA NA 1686 2338 796 NA NA 1969 3808 1144 NA
1566162000.0 132.0 79 105 264 NA NA 191 466 602 NA NA 2611 749 2505 NA NA 2230 1439 3473 NA NA
1566162000.0 1320.0 NA 155 296 0 NA NA 467 622 0 NA NA 1645 2449 856 NA NA 1697 3494 1621 NA
1566162000.0 1321.0 NA 156 292 0 NA NA 510 625 0 NA NA 1660 2397 884 NA NA 1781 3376 2284 NA
1566162000.0 1322.0 NA 156 299 0 NA NA 523 634 0 NA NA 1720 2506 847 NA NA 1658 3978 1441 NA
1566162000.0 1323.0 NA 154 279 0 NA NA 520 544 0 NA NA 1801 2352 807 NA NA 1474 5272 1281 NA
1566162000.0 1324.0 NA 164 306 0 NA NA 475 558 0 NA NA 1850 2668 959 NA NA 2458 4114 1694 NA
1566162000.0 1325.1 NA 176 162 0 NA NA 487 250 0 NA NA 1023 917 670 NA NA 823 1371 983 NA
1566162000.0 1325.2 NA 164 304 0 NA NA 515 626 0 NA NA 1909 2576 927 NA NA 3477 3508 2053 NA
1566162000.0 1325.3 NA 176 160 0 NA NA 480 249 0 NA NA 1028 899 602 NA NA 1215 2714 760 NA
