Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1566079200.0 101.0 88 NA NA NA NA NA 161 NA NA NA NA NA 850 NA NA NA NA NA 1219 NA NA NA NA NA
1566079200.0 1010.0 NA 26 39 0 NA NA NA 88 99 0 NA NA NA 122 188 141 NA NA NA 716 379 283 NA NA
1566079200.0 102.0 94 NA NA NA NA NA 161 NA NA NA NA NA 734 NA NA NA NA NA 965 NA NA NA NA NA
1566079200.0 1020.0 NA 77 27 0 61 NA NA 148 71 0 138 NA NA 272 104 67 247 NA NA 886 386 400 480 NA
1566079200.0 1040.1 NA 82 26 0 NA NA NA 142 76 0 NA NA NA 424 124 134 NA NA NA 1039 287 330 NA NA
1566079200.0 106.0 49 0 0 NA NA NA 107 0 0 NA NA NA 439 338 1430 NA NA NA 1168 488 2206 NA NA NA
1566079200.0 10805.0 NA 262 403 0 92 163 NA 667 588 0 148 244 NA 1866 2227 1849 465 909 NA 2010 3706 2330 771 1191
1566079200.0 10806.0 NA 302 385 0 84 129 NA 705 599 0 150 202 NA 1654 2124 1831 506 895 NA 2554 3159 2332 701 1138
1566079200.0 10823.0 NA 262 389 0 86 127 NA 603 571 0 143 190 NA 1870 2303 1773 480 927 NA 1981 3698 1987 675 1168
1566079200.0 10824.5 NA 278 154 0 NA NA NA 688 240 0 NA NA NA 1978 648 133 NA NA NA 2307 1278 289 NA NA
1566079200.0 10826.0 NA 294 418 0 95 165 NA 676 633 0 156 233 NA 2031 2676 1886 531 948 NA 2099 4027 2557 961 1253
1566079200.0 114.0 111 103 287 NA NA NA 216 586 432 NA NA NA 2036 581 1747 NA NA NA 1483 788 2469 NA NA NA
1566079200.0 122.0 52 0 0 NA NA NA 108 0 0 NA NA NA 898 212 1608 NA NA NA 1123 569 2677 NA NA NA
1566079200.0 126.0 72 100 277 NA NA NA 150 584 430 NA NA NA 1245 455 1712 NA NA NA 1190 655 2220 NA NA NA
1566079200.0 1301.17 74 163 238 NA NA NA 145 602 416 NA NA NA 1536 528 1344 NA NA NA 1141 528 1934 NA NA NA
1566079200.0 1325.5 NA 164 0 NA NA NA NA 264 0 NA NA NA NA 5249 183 NA NA NA NA 6705 1367 NA NA NA
1566079200.0 1325.51 NA 158 0 NA NA NA NA 259 0 NA NA NA NA 1927 145 NA NA NA NA 2325 254 NA NA NA
1566079200.0 1325.6 NA 168 NA NA NA NA NA 269 NA NA NA NA NA 2411 NA NA NA NA NA 2661 NA NA NA NA
1566079200.0 1325.8 NA 162 0 NA NA NA NA 277 0 NA NA NA NA 3468 140 NA NA NA NA 3870 343 NA NA NA
1566079200.0 1329.1 NA 192 0 NA NA NA NA 282 0 NA NA NA NA 1962 128 NA NA NA NA 1899 371 NA NA NA
1566079200.0 134.0 NA 317 49 0 NA NA NA 449 90 0 NA NA NA 3429 137 114 NA NA NA 3283 291 341 NA NA
1566079200.0 135.1 341 0 133 NA NA NA 687 0 214 NA NA NA 1173 260 866 NA NA NA 1500 450 1256 NA NA NA
1566079200.0 135.11 348 0 133 NA NA NA 690 0 219 NA NA NA 1411 268 1088 NA NA NA 1541 470 1711 NA NA NA
1566079200.0 135.12 310 0 130 NA NA NA 690 0 205 NA NA NA 1200 257 969 NA NA NA 1505 410 1509 NA NA NA
1566079200.0 135.2 267 0 128 NA NA NA 639 0 201 NA NA NA 1100 279 842 NA NA NA 2341 545 1107 NA NA NA
1566079200.0 135.4 326 0 131 NA NA NA 690 0 209 NA NA NA 1120 253 854 NA NA NA 1558 364 1317 NA NA NA
1566079200.0 135.5 327 0 136 NA NA NA 690 0 224 NA NA NA 1290 257 918 NA NA NA 1895 727 1225 NA NA NA
1566079200.0 135.6 331 0 135 NA NA NA 558 0 222 NA NA NA 1269 294 1031 NA NA NA 2361 707 2286 NA NA NA
1566079200.0 135.8 147 NA NA NA NA NA 264 NA NA NA NA NA 473 NA NA NA NA NA 678 NA NA NA NA NA
1566079200.0 1356.0 93 134 349 0 143 NA 169 558 532 0 222 NA 2227 656 2009 596 927 NA 1785 892 2712 949 1452 NA
1566079200.0 136.7611 NA 176 0 NA NA NA NA 301 0 NA NA NA NA 5803 167 NA NA NA NA 7070 591 NA NA NA
1566079200.0 136.762 NA 94 410 0 NA NA NA 167 641 0 NA NA NA 575 20223 791 NA NA NA 576 7516 1025 NA NA
1566079200.0 136.7721 NA 185 0 NA NA NA NA 279 0 NA NA NA NA 5346 173 NA NA NA NA 7273 551 NA NA NA
1566079200.0 136.7801 NA 107 0 NA NA NA NA 186 0 NA NA NA NA 392 250 NA NA NA NA 617 540 NA NA NA
1566079200.0 136.7802 NA 75 0 NA NA NA NA 147 0 NA NA NA NA 289 161 NA NA NA NA 600 414 NA NA NA
1566079200.0 136.7803 NA 107 0 NA NA NA NA 186 0 NA NA NA NA 629 212 NA NA NA NA 1217 473 NA NA NA
1566079200.0 136.791 NA 111 342 0 NA NA NA 182 500 0 NA NA NA 677 3209 863 NA NA NA 1040 4339 1201 NA NA
1566079200.0 136.7952 NA 167 0 NA NA NA NA 256 0 NA NA NA NA 1523 139 NA NA NA NA 1646 341 NA NA NA
1566079200.0 136.8311 NA 190 0 NA NA NA NA 274 0 NA NA NA NA 2387 137 NA NA NA NA 1871 338 NA NA NA
1566079200.0 136.858 NA 236 368 0 NA NA NA 369 538 0 NA NA NA 2039 3667 1222 NA NA NA 2679 3546 1392 NA NA
1566079200.0 2017.12 384 0 130 NA NA NA 772 0 217 NA NA NA 1129 317 940 NA NA NA 1229 615 1616 NA NA NA
1566079200.0 2017.3 315 0 132 NA NA NA 728 0 228 NA NA NA 1030 271 838 NA NA NA 1437 427 1236 NA NA NA
1566079200.0 2017.6 383 0 135 NA NA NA 723 0 226 NA NA NA 1292 286 861 NA NA NA 1560 422 1067 NA NA NA
1566079200.0 2017.7 384 0 130 NA NA NA 729 0 223 NA NA NA 1252 355 1033 NA NA NA 1780 546 1545 NA NA NA
1566079200.0 2017.8 188 NA NA NA NA NA 318 NA NA NA NA NA 485 NA NA NA NA NA 814 NA NA NA NA NA
1566079200.0 250206.118 74 492 327 163 NA NA 140 719 474 235 NA NA 1589 2863 2257 912 NA NA 1465 3664 2134 1121 NA NA
1566079200.0 250402.0 380 0 134 NA NA NA 698 0 233 NA NA NA 1449 303 983 NA NA NA 1381 672 1359 NA NA NA
1566079200.0 250406.0 351 0 135 NA NA NA 744 0 216 NA NA NA 1286 240 859 NA NA NA 2017 339 1231 NA NA NA
1566079200.0 250406.17 402 0 139 NA NA NA 732 0 216 NA NA NA 1423 288 937 NA NA NA 1679 479 1437 NA NA NA
1566079200.0 250409.17 440 0 146 NA NA NA 737 0 227 NA NA NA 1921 300 1064 NA NA NA 2030 520 1476 NA NA NA
1566079200.0 4.22 NA 167 71 80 0 NA NA 273 131 146 0 NA NA 1034 217 351 278 NA NA 1198 483 549 399 NA
1566079200.0 4.28 NA 74 306 0 NA NA NA 141 424 0 NA NA NA 455 3155 2629 NA NA NA 1328 4680 4005 NA NA
1566079200.0 4001.0 NA 179 367 NA NA NA NA 605 569 NA NA NA NA 919 2412 NA NA NA NA 931 2730 NA NA NA
1566079200.0 503.0 36 0 NA NA NA NA 87 0 NA NA NA NA 210 133 NA NA NA NA 669 592 NA NA NA NA
1566079200.0 504.0 42 0 NA NA NA NA 88 0 NA NA NA NA 169 132 NA NA NA NA 369 361 NA NA NA NA
1566079200.0 505.0 37 0 NA NA NA NA 87 0 NA NA NA NA 174 135 NA NA NA NA 362 396 NA NA NA NA
1566079200.0 506.0 37 0 NA NA NA NA 87 0 NA NA NA NA 175 133 NA NA NA NA 340 357 NA NA NA NA
1566079200.0 507.0 38 0 NA NA NA NA 86 0 NA NA NA NA 193 132 NA NA NA NA 386 347 NA NA NA NA
1566079200.0 508.0 37 0 NA NA NA NA 87 0 NA NA NA NA 173 134 NA NA NA NA 464 596 NA NA NA NA
1566079200.0 509.0 35 0 NA NA NA NA 86 0 NA NA NA NA 177 138 NA NA NA NA 353 386 NA NA NA NA
1566079200.0 510.0 36 0 NA NA NA NA 87 0 NA NA NA NA 251 139 NA NA NA NA 495 401 NA NA NA NA
1566079200.0 511.0 42 0 NA NA NA NA 92 0 NA NA NA NA 9434 133 NA NA NA NA 11154 284 NA NA NA NA
1566079200.0 514.0 19 37 0 NA NA NA 68 94 0 NA NA NA 374 176 133 NA NA NA 1540 346 607 NA NA NA
1566079200.0 517.0 19 43 0 NA NA NA 64 91 0 NA NA NA 910 172 133 NA NA NA 1772 428 597 NA NA NA
1566079200.0 520.0 19 37 0 NA NA NA 64 94 0 NA NA NA 904 179 133 NA NA NA 1722 329 415 NA NA NA
1566079200.0 523.0 19 52 0 NA NA NA 68 107 0 NA NA NA 776 184 137 NA NA NA 1817 538 325 NA NA NA
1566079200.0 524.0 19 37 0 NA NA NA 64 93 0 NA NA NA 914 175 129 NA NA NA 2169 554 414 NA NA NA
1566079200.0 527.0 19 37 0 NA NA NA 68 93 0 NA NA NA 905 182 135 NA NA NA 1738 377 767 NA NA NA
1566079200.0 530.0 19 46 0 NA NA NA 64 94 0 NA NA NA 901 176 133 NA NA NA 1703 654 329 NA NA NA
1566079200.0 531.0 54 0 NA NA NA NA 196 0 NA NA NA NA 155 136 NA NA NA NA 341 403 NA NA NA NA
1566079200.0 534.0 44 0 NA NA NA NA 105 0 NA NA NA NA 195 130 NA NA NA NA 953 387 NA NA NA NA
