Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1566205200.0 10.0 NA 135 306 0 NA NA NA 557 629 0 NA NA NA 2416 3998 604 NA NA NA 1645 3257 769 NA NA
1566205200.0 1001.2 NA 395 133 0 NA NA NA 847 218 0 NA NA NA 15383 1768 132 NA NA NA 5341 1379 194 NA NA
1566205200.0 1002.0 NA 308 76 NA NA NA NA 625 133 NA NA NA NA 3462 414 NA NA NA NA 2493 437 NA NA NA
1566205200.0 10024.4 NA 218 379 0 NA NA NA 604 784 0 NA NA NA 2185 2419 1049 NA NA NA 1327 2765 1226 NA NA
1566205200.0 1003.0 NA 273 0 NA NA NA NA 631 0 NA NA NA NA 3388 643 NA NA NA NA 2271 1121 NA NA NA
1566205200.0 101.0 95 NA NA NA NA NA 162 NA NA NA NA NA 912 NA NA NA NA NA 1439 NA NA NA NA NA
1566205200.0 102.0 93 NA NA NA NA NA 162 NA NA NA NA NA 775 NA NA NA NA NA 1004 NA NA NA NA NA
1566205200.0 10224.0 NA 378 606 0 NA NA NA 673 940 0 NA NA NA 4677 4857 1074 NA NA NA 3089 3283 1178 NA NA
1566205200.0 10225.0 NA 379 581 0 NA NA NA 575 976 0 NA NA NA 4509 4368 1060 NA NA NA 2707 3254 1155 NA NA
1566205200.0 1040.0 NA 364 30 0 NA NA NA 797 73 0 NA NA NA 12417 145 130 NA NA NA 4783 267 246 NA NA
1566205200.0 10424.0 NA 172 375 0 NA NA NA 605 687 0 NA NA NA 811 2383 1115 NA NA NA 1178 3015 1579 NA NA
1566205200.0 107.0 77 150 291 NA NA NA 200 585 662 NA NA NA 1953 540 1974 NA NA NA 1215 684 2348 NA NA NA
1566205200.0 10801.0 NA 255 405 0 85 158 NA 682 665 0 145 268 NA 1983 2344 1978 454 776 NA 2233 2357 2066 546 905
1566205200.0 10802.0 NA 262 405 0 93 157 NA 637 678 0 143 266 NA 2020 2500 1924 460 760 NA 1866 2622 2034 596 871
1566205200.0 10803.0 NA 262 411 0 86 158 NA 682 695 0 151 266 NA 2002 2464 1970 584 815 NA 1910 2423 2082 619 896
1566205200.0 10804.0 NA 255 402 0 86 153 NA 592 697 0 150 265 NA 1997 2326 1997 443 786 NA 2597 2334 2127 564 862
1566205200.0 10806.0 NA 258 394 0 92 124 NA 637 771 0 141 236 NA 1992 2300 1950 440 748 NA 1981 2508 2179 566 908
1566205200.0 10807.0 NA 262 404 0 93 141 NA 637 736 0 159 260 NA 2003 2395 1971 493 764 NA 1869 2381 2079 670 888
1566205200.0 10808.0 NA 262 408 0 93 159 NA 637 672 0 156 266 NA 1979 2381 1977 481 795 NA 1785 2329 2120 595 864
1566205200.0 10809.0 NA 264 400 0 93 163 NA 636 688 0 151 273 NA 1999 2435 1987 472 786 NA 1854 2341 2177 594 859
1566205200.0 10823.0 NA 257 399 0 91 132 NA 592 776 0 145 231 NA 1970 2304 1948 441 751 NA 1911 2516 2140 606 929
1566205200.0 10824.0 NA 289 430 0 102 159 NA 593 699 0 157 272 NA 2187 2837 1989 514 812 NA 2142 2690 2223 682 934
1566205200.0 10824.1 NA 290 203 0 NA NA NA 682 353 0 NA NA NA 2253 1011 373 NA NA NA 2956 1633 525 NA NA
1566205200.0 10824.5 NA 293 166 0 NA NA NA 681 254 0 NA NA NA 2471 703 176 NA NA NA 5700 1529 521 NA NA
1566205200.0 10824.7 NA 296 418 0 97 161 NA 639 772 0 164 280 NA 2242 2746 2090 525 837 NA 3272 2890 2184 905 1131
1566205200.0 10825.0 NA 276 414 0 86 158 NA 682 784 0 145 267 NA 2080 2534 2034 486 780 NA 1892 2422 2192 586 884
1566205200.0 10842.0 NA 280 407 0 92 162 NA 638 771 0 158 281 NA 2063 2468 1945 482 808 NA 2016 2337 2188 676 909
1566205200.0 10842.7 NA 269 413 0 93 150 NA 592 680 0 159 266 NA 2195 2623 2110 482 839 NA 2081 3381 2213 615 1036
1566205200.0 10871.0 NA 274 415 0 85 159 NA 682 690 0 147 272 NA 2051 2589 2030 470 801 NA 1791 2374 2115 582 875
1566205200.0 109.0 74 149 302 NA NA NA 205 585 622 NA NA NA 2815 551 2108 NA NA NA 1269 401 2017 NA NA NA
1566205200.0 1102.0 NA 145 311 162 90 NA NA 556 668 522 178 NA NA 2610 4730 2285 350 NA NA 1349 2815 1319 286 NA
1566205200.0 11024.2 NA 519 782 0 159 NA NA 814 1055 0 278 NA NA 6422 6474 2137 773 NA NA 3326 4026 2229 852 NA
1566205200.0 11024.3 NA 508 754 0 165 NA NA 865 1145 0 280 NA NA 6419 6585 2106 780 NA NA 3311 4068 2316 861 NA
1566205200.0 11224.0 NA 280 413 0 NA NA NA 683 772 0 NA NA NA 2337 2722 2074 NA NA NA 3420 3116 2309 NA NA
1566205200.0 11224.6 NA 280 412 0 NA NA NA 683 749 0 NA NA NA 2148 2721 2123 NA NA NA 2589 2883 2285 NA NA
1566205200.0 11623.0 NA 171 362 0 67 NA NA 571 678 0 124 NA NA 762 2128 1094 469 NA NA 1087 3840 1444 635 NA
1566205200.0 11624.0 NA 176 376 0 69 NA NA 604 735 0 127 NA NA 818 2372 1075 312 NA NA 1280 3473 1261 634 NA
1566205200.0 11625.0 NA 170 365 0 77 NA NA 604 747 0 125 NA NA 749 2216 1103 297 NA NA 1189 3542 1737 626 NA
1566205200.0 11626.0 NA 181 391 0 70 NA NA 606 688 0 128 NA NA 904 3098 1081 341 NA NA 1312 3749 1357 1097 NA
1566205200.0 11642.0 NA 175 368 0 69 NA NA 561 735 0 128 NA NA 817 2221 1074 321 NA NA 1170 2822 1354 1031 NA
1566205200.0 11824.0 NA 417 704 0 165 NA NA 672 1156 0 274 NA NA 4802 6624 1124 760 NA NA 2007 3823 1256 906 NA
1566205200.0 11825.0 NA 416 695 0 152 NA NA 671 1118 0 257 NA NA 4625 6244 1178 916 NA NA 4655 4364 1859 1688 NA
1566205200.0 12.0 NA 131 299 0 NA NA NA 556 677 0 NA NA NA 2194 3941 632 NA NA NA 2117 2802 870 NA NA
1566205200.0 120.0 58 139 274 NA NA NA 138 539 633 NA NA NA 575 467 1859 NA NA NA 602 390 2021 NA NA NA
1566205200.0 12024.0 NA 184 373 0 NA NA NA 561 740 0 NA NA NA 815 2397 984 NA NA NA 2006 4992 2255 NA NA
1566205200.0 121.0 77 114 297 NA NA NA 215 539 575 NA NA NA 2796 617 2157 NA NA NA 1910 1352 3340 NA NA NA
1566205200.0 123.1 299 NA NA NA NA NA 809 NA NA NA NA NA 1408 NA NA NA NA NA 1562 NA NA NA NA NA
