Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1566162000.0 1001.2 NA 399 131 0 NA NA NA 750 208 0 NA NA NA 15277 1811 121 NA NA NA 5851 1965 268 NA NA
1566162000.0 1002.0 NA 325 91 NA NA NA NA 641 134 NA NA NA NA 3241 392 NA NA NA NA 2632 277 NA NA NA
1566162000.0 10024.4 NA 219 379 0 NA NA NA 605 771 0 NA NA NA 2131 2423 1057 NA NA NA 1273 2802 1211 NA NA
1566162000.0 101.0 94 NA NA NA NA NA 163 NA NA NA NA NA 773 NA NA NA NA NA 1063 NA NA NA NA NA
1566162000.0 102.0 94 NA NA NA NA NA 163 NA NA NA NA NA 686 NA NA NA NA NA 967 NA NA NA NA NA
1566162000.0 1040.0 NA 356 28 0 NA NA NA 789 73 0 NA NA NA 12603 146 129 NA NA NA 4486 320 235 NA NA
1566162000.0 1040.1 NA 76 31 0 NA NA NA 135 74 0 NA NA NA 379 155 206 NA NA NA 513 918 442 NA NA
1566162000.0 10424.0 NA 175 375 0 NA NA NA 605 738 0 NA NA NA 794 2346 1091 NA NA NA 1314 2338 1256 NA NA
1566162000.0 10824.1 NA 285 238 0 NA NA NA 682 412 0 NA NA NA 2252 1043 373 NA NA NA 3022 1733 500 NA NA
1566162000.0 10824.7 NA 303 446 0 96 173 NA 682 760 0 164 270 NA 2202 2659 1899 500 774 NA 1878 2803 2132 827 998
1566162000.0 10842.7 NA 306 420 0 96 164 NA 594 750 0 151 266 NA 2018 2510 1994 605 792 NA 1939 2808 2586 1162 1237
1566162000.0 11625.0 NA 169 369 0 78 NA NA 516 758 0 125 NA NA 765 2164 1066 390 NA NA 959 2591 1172 443 NA
1566162000.0 11626.0 NA 181 382 0 78 NA NA 606 758 0 125 NA NA 886 3022 1069 448 NA NA 987 2775 1168 578 NA
