Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1560848400.0 10.0 NA 144 327 0 NA 601 640 0 NA 2840 4657 693 NA 1294 3249 794
1560848400.0 10024.2 NA 188 389 0 NA 561 758 0 NA 1303 3568 1128 NA 1658 4959 1237
1560848400.0 10024.4 NA 193 387 0 NA 562 746 0 NA 972 3121 1431 NA 963 3979 1868
1560848400.0 1003.0 NA 279 0 NA NA 626 0 NA NA 4039 515 NA NA 2972 624 NA
1560848400.0 101.0 94 NA NA NA 163 NA NA NA 866 NA NA NA 1104 NA NA NA
1560848400.0 102.0 91 NA NA NA 163 NA NA NA 778 NA NA NA 1231 NA NA NA
1560848400.0 103.0 43 0 0 NA 98 0 0 NA 563 337 2011 NA 1278 573 2829 NA
1560848400.0 1040.0 NA 361 29 0 NA 688 73 0 NA 15271 285 191 NA 6091 795 333
1560848400.0 10424.0 NA 183 379 0 NA 560 745 0 NA 1146 3262 1252 NA 1430 5037 1649
1560848400.0 106.0 42 0 0 NA 98 0 0 NA 600 508 2006 NA 1463 685 3147 NA
1560848400.0 107.0 96 122 299 NA 201 539 560 NA 2642 898 2320 NA 1637 1357 2540 NA
1560848400.0 108.0 92 121 294 NA 198 583 620 NA 4362 912 2940 NA 2676 1004 3123 NA
1560848400.0 10824.1 NA 321 215 0 NA 637 357 0 NA 2546 1470 441 NA 3145 3214 643
1560848400.0 10824.5 NA 297 168 0 NA 593 250 0 NA 2120 555 236 NA 1680 861 695
1560848400.0 109.0 90 126 295 NA 202 584 654 NA 4109 600 2829 NA 2530 438 2752 NA
1560848400.0 110.0 59 114 292 NA 130 539 619 NA 864 648 2533 NA 1436 727 2696 NA
1560848400.0 111.0 87 122 297 NA 195 539 648 NA 1729 478 2267 NA 1734 485 2549 NA
1560848400.0 11224.0 NA 299 424 0 NA 683 726 0 NA 2117 2853 1663 NA 2315 3741 1757
1560848400.0 11224.6 NA 299 421 0 NA 681 748 0 NA 2031 2979 1762 NA 2714 3634 2084
1560848400.0 113.0 83 121 284 NA 212 584 615 NA 2288 660 2122 NA 2521 1746 3592 NA
1560848400.0 114.0 100 116 290 NA 201 584 552 NA 2359 626 2473 NA 2310 570 2757 NA
1560848400.0 115.0 98 125 293 NA 213 584 575 NA 3053 616 2315 NA 1550 480 2636 NA
1560848400.0 116.0 108 123 290 NA 213 585 616 NA 3670 767 2404 NA 1972 547 2460 NA
1560848400.0 117.0 101 125 305 NA 212 539 625 NA 4277 756 2581 NA 3009 801 2588 NA
1560848400.0 118.0 106 116 303 NA 212 539 643 NA 4047 976 2650 NA 2130 1024 2570 NA
1560848400.0 119.0 103 106 295 NA 201 584 644 NA 2157 866 2422 NA 1519 962 2646 NA
1560848400.0 120.0 61 113 284 NA 127 582 648 NA 812 864 2267 NA 2083 819 2539 NA
1560848400.0 12024.0 NA 179 397 0 NA 606 740 0 NA 841 2311 1062 NA 1205 2967 1522
1560848400.0 121.0 104 119 304 NA 212 585 586 NA 3842 588 2640 NA 2387 432 2677 NA
1560848400.0 124.1 285 NA NA NA 853 NA NA NA 1546 NA NA NA 1646 NA NA NA
1560848400.0 124.4 290 NA NA NA 850 NA NA NA 1526 NA NA NA 1676 NA NA NA
1560848400.0 125.0 100 109 299 NA 201 583 669 NA 2444 940 2088 NA 1642 875 2158 NA
1560848400.0 128.0 64 114 279 NA 128 540 634 NA 720 627 2433 NA 1159 741 2710 NA
1560848400.0 13.0 NA 119 301 0 NA 603 616 0 NA 682 2668 684 NA 1728 2295 839
1560848400.0 130.0 60 109 285 NA 127 583 585 NA 855 878 2675 NA 1735 938 3293 NA
1560848400.0 1302.0 98 154 253 NA 181 555 535 NA 4216 656 2203 NA 3125 455 2116 NA
1560848400.0 1303.0 79 149 215 NA 148 598 485 NA 8416 713 2776 NA 5123 587 2588 NA
1560848400.0 1303.17 76 185 269 NA 145 553 659 NA 8182 1103 2650 NA 5223 813 2373 NA
1560848400.0 1306.0 NA 145 336 0 NA 561 669 0 NA 720 2838 840 NA 905 4519 1016
1560848400.0 1310.0 NA 149 372 0 NA 606 691 0 NA 981 2286 747 NA 1455 2470 865
1560848400.0 1313.0 NA 151 362 0 NA 607 681 0 NA 800 3161 796 NA 1171 3151 898
1560848400.0 1314.0 NA 149 362 0 NA 607 665 0 NA 708 2274 800 NA 825 2180 901
1560848400.0 1315.0 NA 141 351 0 NA 516 677 0 NA 848 2360 711 NA 1342 2720 818
1560848400.0 1317.0 NA 147 349 0 NA 562 689 0 NA 734 2718 718 NA 1159 3345 834
1560848400.0 1323.0 NA 147 339 0 NA 562 652 0 NA 634 2161 938 NA 587 2348 1114
1560848400.0 1324.0 NA 150 366 0 NA 605 656 0 NA 977 2482 967 NA 1430 2352 1175
1560848400.0 1325.2 NA 155 364 0 NA 561 705 0 NA 732 2599 654 NA 565 2687 1414
1560848400.0 1325.5 NA 174 0 NA NA 276 0 NA NA 6375 216 NA NA 9256 640 NA
1560848400.0 1325.51 NA 161 0 NA NA 265 0 NA NA 1905 219 NA NA 3449 979 NA
1560848400.0 1325.6 NA 206 NA NA NA 332 NA NA NA 3485 NA NA NA 3103 NA NA
1560848400.0 1325.7 NA 211 0 NA NA 333 0 NA NA 3939 138 NA NA 2164 261 NA
1560848400.0 1325.8 NA 209 0 NA NA 335 0 NA NA 3393 128 NA NA 2043 194 NA
1560848400.0 1327.0 NA 148 349 0 NA 604 702 0 NA 719 3208 730 NA 982 4070 853
1560848400.0 1329.1 NA 182 0 NA NA 324 0 NA NA 7525 197 NA NA 9971 673 NA
1560848400.0 133.0 102 117 304 NA 212 539 616 NA 5236 1003 2902 NA 3048 935 2899 NA
1560848400.0 1330.0 NA 149 407 0 NA 562 703 0 NA 995 2675 700 NA 1375 3495 779
1560848400.0 1332.0 NA 154 355 0 NA 607 597 0 NA 839 2796 1056 NA 1627 3523 1552
