Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1566079200.0 136.8311 NA 166 0 NA NA NA NA NA NA NA 288 0 NA NA NA NA NA NA NA 2787 208 NA NA NA NA NA NA NA 6632 1099 NA NA NA NA NA NA
1566079200.0 2017.8 185 NA NA NA NA NA NA NA NA 316 NA NA NA NA NA NA NA NA 530 NA NA NA NA NA NA NA NA 1013 NA NA NA NA NA NA NA NA
1566079200.0 2018.7 388 0 127 NA NA NA NA NA NA 721 0 208 NA NA NA NA NA NA 1764 449 1459 NA NA NA NA NA NA 3055 637 2913 NA NA NA NA NA NA
1566079200.0 2018.8 194 NA NA NA NA NA NA NA NA 300 NA NA NA NA NA NA NA NA 526 NA NA NA NA NA NA NA NA 764 NA NA NA NA NA NA NA NA
1566079200.0 250206.118 66 496 290 171 NA NA NA NA NA 140 704 480 266 NA NA NA NA NA 2003 2812 2451 1603 NA NA NA NA NA 2232 4634 3410 3483 NA NA NA NA NA
1566079200.0 28.0 NA 124 296 0 NA NA NA NA NA NA 601 445 0 NA NA NA NA NA NA 2327 3974 662 NA NA NA NA NA NA 3157 6854 1603 NA NA NA NA NA
1566079200.0 4.22 NA 166 65 63 0 NA NA NA NA NA 273 125 149 0 NA NA NA NA NA 995 810 289 318 NA NA NA NA NA 1863 1462 787 535 NA NA NA NA
1566079200.0 4.28 NA 75 306 0 NA NA NA NA NA NA 138 425 0 NA NA NA NA NA NA 432 3634 2670 NA NA NA NA NA NA 790 3977 3093 NA NA NA NA NA
1566079200.0 4008.0 47 0 0 NA NA NA NA NA NA 107 0 0 NA NA NA NA NA NA 1092 241 1813 NA NA NA NA NA NA 1793 1079 5991 NA NA NA NA NA NA
1566079200.0 5.1 312 0 NA NA NA NA NA NA NA 646 0 NA NA NA NA NA NA NA 1354 328 NA NA NA NA NA NA NA 4077 866 NA NA NA NA NA NA NA
