Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566079200.0 1.0 99 85 145 NA NA 185 369 247 NA NA 1456 319 245 NA NA 1001 303 320 NA NA
1566079200.0 10.0 NA 114 479 0 NA NA 376 586 0 NA NA 2158 1938 368 NA NA 1028 914 377 NA
1566079200.0 1000.0 NA 478 166 0 48 NA 582 248 0 92 NA 2035 928 454 121 NA 1044 669 486 157
1566079200.0 10002.0 NA 192 654 80 0 NA 478 812 134 0 NA 615 980 200 1377 NA 615 1066 322 1396
1566079200.0 10004.0 NA 186 655 86 0 NA 480 811 134 0 NA 585 953 205 1442 NA 688 1162 412 1466
1566079200.0 10007.0 NA 189 653 91 0 NA 485 817 143 0 NA 664 991 217 1371 NA 626 1301 323 1402
1566079200.0 1002.0 NA 470 63 NA NA NA 555 124 NA NA NA 1931 304 NA NA NA 928 195 NA NA
1566079200.0 10024.1 NA 241 272 0 NA NA 485 374 0 NA NA 794 460 207 NA NA 990 463 218 NA
1566079200.0 10024.2 NA 244 680 0 NA NA 486 839 0 NA NA 782 1245 1429 NA NA 770 912 1467 NA
1566079200.0 10024.3 NA 241 248 0 NA NA 481 371 0 NA NA 720 402 162 NA NA 562 410 173 NA
1566079200.0 10024.4 NA 239 356 0 NA NA 489 831 0 NA NA 776 1753 1418 NA NA 632 2630 1472 NA
1566079200.0 10024.5 NA 148 269 0 NA NA 467 395 0 NA NA 972 442 193 NA NA 2066 425 199 NA
1566079200.0 1003.0 NA 405 0 NA NA NA 487 0 NA NA NA 2562 439 NA NA NA 1067 626 NA NA
1566079200.0 101.0 80 NA NA NA NA 150 NA NA NA NA 808 NA NA NA NA 951 NA NA NA NA
1566079200.0 1010.0 NA 26 75 0 NA NA 74 122 0 NA NA 13 92 26 NA NA 125 160 52 NA
1566079200.0 102.0 82 NA NA NA NA 151 NA NA NA NA 623 NA NA NA NA 699 NA NA NA NA
1566079200.0 1020.0 NA 38 NA NA NA NA 111 NA NA NA NA 52 NA NA NA NA 89 NA NA NA
1566079200.0 10224.0 NA 353 941 0 NA NA 536 1165 0 NA NA 3770 5401 1459 NA NA 9243 2167 1493 NA
1566079200.0 10225.0 NA 329 951 0 NA NA 548 1196 0 NA NA 3534 4253 1437 NA NA 12165 2107 1479 NA
1566079200.0 103.0 43 0 0 NA NA 91 0 0 NA NA 602 105 298 NA NA 567 67 472 NA NA
1566079200.0 1030.0 NA 148 39 0 NA NA 274 83 0 NA NA 1727 45 2 NA NA 858 78 40 NA
1566079200.0 10424.0 NA 212 673 0 NA NA 480 832 0 NA NA 796 1202 1493 NA NA 632 933 1519 NA
1566079200.0 105.0 89 83 28 NA NA 186 361 67 NA NA 1737 379 3 NA NA 1333 467 23 NA NA
1566079200.0 106.0 43 0 0 NA NA 90 0 0 NA NA 808 123 288 NA NA 706 185 369 NA NA
1566079200.0 107.0 103 90 467 NA NA 188 362 564 NA NA 3622 419 594 NA NA 2453 506 636 NA NA
1566079200.0 108.0 102 100 469 NA NA 189 369 571 NA NA 3851 425 660 NA NA 2078 442 586 NA NA
1566079200.0 10824.0 72 216 690 99 0 135 480 831 145 0 4651 834 1255 247 1404 2051 598 904 379 1421
1566079200.0 10825.0 68 203 676 86 0 129 475 824 134 0 3719 758 1106 194 1501 1988 657 880 241 1523
1566079200.0 10826.0 74 220 685 98 0 136 475 833 143 0 6829 900 1459 244 1499 3212 606 960 377 1522
1566079200.0 10842.0 57 187 651 94 0 111 474 808 143 0 1586 483 914 230 1457 1224 803 1010 266 1494
1566079200.0 109.0 101 92 466 NA NA 190 369 562 NA NA 4457 567 651 NA NA 2363 840 609 NA NA
1566079200.0 110.0 57 88 457 NA NA 126 369 551 NA NA 729 329 429 NA NA 569 308 472 NA NA
1566079200.0 1102.0 NA 120 495 131 73 NA 377 584 212 164 NA 2512 2564 1345 253 NA 1757 1123 605 150
1566079200.0 111.0 87 86 456 NA NA 184 369 560 NA NA 2152 309 460 NA NA 1177 484 481 NA NA
