Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566079200.0 1325.0 NA 168 252 0 69 NA 229 316 0 110 NA 641 1546 1654 151 NA 1381 2085 1731 278
1566079200.0 134.707 NA 44 229 0 NA NA 85 301 0 NA NA 156 5202 427 NA NA 230 6334 473 NA
1566079200.0 134.708 NA 42 230 0 NA NA 84 303 0 NA NA 158 4963 432 NA NA 273 6075 478 NA
1566079200.0 134.809 NA 41 229 0 NA NA 83 303 0 NA NA 195 6353 409 NA NA 299 7501 451 NA
1566079200.0 134.902 NA 43 224 0 NA NA 88 297 0 NA NA 178 5044 430 NA NA 298 6180 475 NA
1566079200.0 134.99901 NA 42 227 0 NA NA 86 298 0 NA NA 173 4511 434 NA NA 299 5634 499 NA
1566079200.0 300.0 85 208 289 0 NA 141 288 361 0 NA 2212 1373 1841 199 NA 3694 1860 2186 226 NA
1566079200.0 39.0 NA 87 199 0 NA NA 151 259 0 NA NA 1922 3699 624 NA NA 2057 4004 704 NA
1566079200.0 4.52 NA 37 224 0 NA NA 78 301 0 NA NA 163 6406 408 NA NA 280 6687 463 NA
1566079200.0 4.63 NA 40 224 0 NA NA 78 303 0 NA NA 158 6736 422 NA NA 210 7022 464 NA
1566079200.0 4.64 NA 38 225 0 NA NA 78 307 0 NA NA 161 6444 394 NA NA 270 6702 440 NA
1566079200.0 4.74 NA 39 222 0 NA NA 79 296 0 NA NA 149 5244 427 NA NA 263 5495 468 NA
1566079200.0 50202.0 NA 107 270 0 NA NA 161 349 0 NA NA 1363 2801 467 NA NA 2829 3561 507 NA
1566079200.0 516.0 15 29 0 NA NA 132 65 0 NA NA 70 43 35 NA NA 5020 110 99 NA NA
